City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
117,Khandyga,RU,62.6667,135.6,40.14,82,99,1.25,overcast clouds
118,San Roque,ES,36.2107,-5.3842,65.23,82,40,19.57,scattered clouds
119,Castro,BR,-24.7911,-50.0119,63.88,67,84,3.42,broken clouds
120,Tamandare,BR,-8.7597,-35.1047,76.98,84,77,13.09,broken clouds
121,Belchatow,PL,51.3688,19.3567,60.62,73,85,10.63,overcast clouds
122,Swinford,IE,53.95,-8.95,52.34,61,98,13.4,overcast clouds
123,Cabo San Lucas,MX,22.8909,-109.9124,85.6,54,0,6.91,clear sky
124,Poum,NC,-20.2333,164.0167,76.71,80,100,15.32,overcast clouds
125,Saint George,US,37.1041,-113.5841,99.79,10,0,6.91,clear sky
126,Rosario,AR,-32.9468,-60.6393,61.07,67,0,10.36,clear sky
127,Bilibino,RU,68.0546,166.4372,48.94,60,100,4.25,overcast clouds
128,Taoudenni,ML,22.6783,-3.9836,99.25,11,19,1.72,few clouds
129,Andenes,NO,69.3143,16.1194,49.98,81,0,3.44,clear sky
130,Kaitangata,NZ,-46.2817,169.8464,37.22,89,9,4.54,clear sky
131,Agadez,NE,19.75,10.25,91.9,10,6,6.08,clear sky
132,Kikwit,CD,-5.041,18.8162,74.23,77,22,1.39,few clouds
133,Takoradi,GH,4.8845,-1.7554,78.82,81,28,7.38,scattered clouds
134,Eureka,US,40.8021,-124.1637,81.75,83,100,8.99,overcast clouds
135,Khandbari,NP,27.3747,87.2039,67.55,78,41,3.58,scattered clouds
136,Broome,US,42.2506,-75.833,77.2,61,0,16.11,clear sky
137,Woodmere,US,40.6321,-73.7126,72.46,65,75,15.01,broken clouds
138,Tacuarembo,UY,-31.7333,-55.9833,53.82,94,100,11.01,overcast clouds
139,Mehamn,NO,71.0357,27.8492,42.71,77,31,17.74,scattered clouds
140,Biak,ID,-0.9131,122.8766,76.51,84,99,5.21,moderate rain
141,Barra Do Garcas,BR,-15.89,-52.2567,88.38,35,0,3.44,clear sky
142,Nizhnyaya Salda,RU,58.0776,60.7202,45.72,77,100,4.38,overcast clouds
143,Marsa Matruh,EG,31.3525,27.2453,71.8,78,0,6.91,clear sky
144,Tasiilaq,GL,65.6145,-37.6368,37.56,68,83,3.87,broken clouds
145,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,43.39,81,75,0.0,broken clouds
146,Yerbogachen,RU,61.2767,108.0108,34.56,77,22,7.43,few clouds
147,La Ronge,CA,55.1001,-105.2842,55.62,58,75,6.91,broken clouds
148,Faanui,PF,-16.4833,-151.75,80.98,69,5,14.9,clear sky
149,Olafsvik,IS,64.8945,-23.7142,45.09,75,23,14.85,few clouds
150,Lavrentiya,RU,65.5833,-171.0,33.75,97,69,4.36,broken clouds
151,Buchanan,LR,5.8808,-10.0467,79.39,82,77,8.14,light rain
152,Houma,US,29.5958,-90.7195,87.01,42,0,5.75,clear sky
153,Russell,US,32.3502,-85.1999,71.2,88,40,3.44,moderate rain
154,Sarangani,PH,5.4033,125.4636,80.96,75,51,4.9,broken clouds
155,Thessalon,CA,46.2501,-83.5666,64.69,98,100,8.84,overcast clouds
156,Lake City,US,30.1897,-82.6393,86.86,58,0,6.91,clear sky
157,Ladushkin,RU,54.5703,20.171,55.26,73,8,19.44,clear sky
158,Saint-Pierre,RE,-21.3393,55.4781,71.28,73,0,8.05,clear sky
159,Sao Filipe,CV,14.8961,-24.4956,73.15,79,43,7.7,scattered clouds
160,Lagoa,PT,39.05,-27.9833,61.99,81,91,17.92,overcast clouds
161,Ancud,CL,-41.8697,-73.8203,48.34,70,78,4.38,broken clouds
162,Hasaki,JP,35.7333,140.8333,68.4,84,100,23.35,overcast clouds
163,Airai,TL,-8.9266,125.4092,57.7,92,100,3.87,overcast clouds
164,Lompoc,US,34.6391,-120.4579,74.79,76,100,9.22,overcast clouds
