City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
218,Westport,US,72.09,broken clouds,41.1415,-73.3579,The Westport Inn
223,Laranjeiras Do Sul,BR,64.04,overcast clouds,-25.4078,-52.4161,Hotel Palmeiras
224,Senanga,ZM,61.02,clear sky,-16.1167,23.2667,Zango lodge
225,Ust-Ishim,RU,66.52,overcast clouds,57.6935,71.1665,"Velichko T.p., Gostinitsa"
227,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
228,Fairbanks,US,65.3,scattered clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
229,Cassilandia,BR,80.51,overcast clouds,-19.1133,-51.7342,Delirius Motel
230,Dothan,US,70.0,heavy intensity rain,31.2232,-85.3905,Courtyard by Marriott Dothan
231,Batouri,CM,68.11,light rain,4.4333,14.3667,Hotel Hollywood
233,Conceicao Do Araguaia,BR,80.89,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
234,Guangshui,CN,62.64,overcast clouds,31.6199,113.9978,广水市雅瑞假日生态园
235,Can,TR,67.15,overcast clouds,40.0333,27.0524,Can Ogretmenevi
237,Hervey Bay,AU,60.03,clear sky,-25.2986,152.8535,Shelly Bay Resort
238,Mount Isa,AU,58.77,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
240,Hastings,GB,59.9,overcast clouds,50.8552,0.5729,Zanzibar Hotel
241,Saint-Philippe,RE,71.19,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
248,Sillod,IN,83.66,few clouds,20.3,75.65,पवन
250,Chapleau,CA,57.29,overcast clouds,47.8405,-83.4034,Nemegosenda Lake Lodge
251,Quatre Cocos,MU,70.09,clear sky,-20.2078,57.7625,Sunrise Attitude Hotel
252,Kutum,SD,79.43,few clouds,14.2,24.6667,Dibbo areaمنطقة دبو
254,Praya,CV,73.94,scattered clouds,14.9215,-23.5087,LT Aparthotel
256,Caravelas,BR,72.41,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
258,Marshall,US,74.91,broken clouds,34.3834,-86.3333,Riverview Campground
259,Faya,SA,71.71,clear sky,18.3851,42.4509,املاك خالد الشعشوع
260,Mattru,SL,75.22,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
261,Kupang,ID,77.14,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
265,Turayf,SA,75.45,clear sky,31.6725,38.6637,Turaif
266,Namibe,AO,67.57,broken clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
267,Olinda,BR,78.53,mist,-8.0089,-34.8553,Flat Quatro Rodas Olinda
268,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
269,Revadanda,IN,82.56,few clouds,18.5503,72.9278,OYO 22032 P P Motel
272,Komsomolskiy,UZ,72.32,overcast clouds,40.4272,71.7189,Ikathouse
273,Mahebourg,MU,70.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
274,Ludwigslust,DE,56.82,light rain,53.3167,11.5,"Hotel & Restaurant ""Prinzenstube"" Hotel Erbprinz Ludwigslust"
276,Islamkot,PK,82.36,clear sky,24.6997,70.177,Haji Hotel
278,Skerries,IE,57.99,few clouds,53.5828,-6.1083,The Redbank Guesthouse
279,Teslic,BA,62.85,scattered clouds,44.6064,17.8597,Hotel Kardial
280,Cartagena,CO,82.02,few clouds,10.3997,-75.5144,Hotel Colombia Real - Cartagena
285,Umarizal,BR,81.7,overcast clouds,-5.9906,-37.8144,Pousada Sossego
286,Kloulklubed,PW,75.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
287,San Jose Iturbide,MX,84.6,overcast clouds,21.0,-100.3833,Los Arcos
288,Aguilas,ES,68.49,clear sky,37.4063,-1.5829,Hotel Carlos III
289,Niquelandia,BR,84.16,scattered clouds,-14.4739,-48.4597,Hotel Suinã
292,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
295,Zhongxing,CN,62.58,broken clouds,33.7039,118.6792,New Century Grand Hotel Siyang
297,Arraial Do Cabo,BR,75.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
298,Auki,SB,76.46,overcast clouds,-8.7676,160.7034,Auki Motel
300,Kawalu,ID,71.73,overcast clouds,-7.3817,108.2082,West Jontor
301,Bambous Virieux,MU,70.21,few clouds,-20.3428,57.7575,Casa Tia Villa
303,Waingapu,ID,76.78,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
304,Imbituba,BR,69.1,overcast clouds,-28.24,-48.6703,Praia Hotel Imbituba
305,Naze,JP,65.32,overcast clouds,28.3667,129.4833,Shishime Hotel
306,Sibolga,ID,77.0,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
