City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
188,Kieta,PG,2022-05-23 20:31:50,-6.2167,155.6333,80.67,81,73,2.3
189,Hearst,CA,2022-05-23 20:31:51,49.6835,-83.6665,64.65,22,49,6.29
190,Rio Gallegos,AR,2022-05-23 20:31:51,-51.6226,-69.2181,37.45,70,0,14.97
191,Victoria,HK,2022-05-23 20:28:08,22.2855,114.1577,77.38,93,100,11.99
192,Ilulissat,GL,2022-05-23 20:31:52,69.2167,-51.1,33.82,86,75,3.44
193,Harpanahalli,IN,2022-05-23 20:31:52,14.8,75.9833,73.96,86,10,12.28
194,Bathsheba,BB,2022-05-23 20:31:53,13.2167,-59.5167,84.81,70,20,14.97
195,Kimbe,PG,2022-05-23 20:31:53,-5.5502,150.1429,77.18,91,54,3.71
196,Ahipara,NZ,2022-05-23 20:31:53,-35.1667,173.1667,57.49,61,75,3.91
197,Saint-Joseph,RE,2022-05-23 20:31:54,-21.3667,55.6167,70.18,82,34,12.97
198,Cayenne,GF,2022-05-23 20:30:05,4.9333,-52.3333,81.09,7,15,4.61
199,Port-Cartier,CA,2022-05-23 20:31:54,50.0334,-66.8654,57.74,43,17,3.2
200,Las Vegas,US,2022-05-23 20:31:55,36.175,-115.1372,90.25,11,0,9.22
201,Richards Bay,ZA,2022-05-23 20:31:55,-28.783,32.0377,62.65,86,75,7.07
202,Poum,NC,2022-05-23 20:31:55,-20.2333,164.0167,75.31,75,100,4.79
203,Saint-Louis,SN,2022-05-23 20:31:56,16.3333,-15.0,76.91,51,0,20.58
204,Barashevo,RU,2022-05-23 20:31:56,54.5325,42.8792,38.39,85,100,6.13
205,Tura,IN,2022-05-23 20:28:40,25.5198,90.2201,72.54,88,5,3.89
206,Usinsk,RU,2022-05-23 20:31:57,65.9939,57.5281,34.65,93,95,6.71
207,Belaya Gora,RU,2022-05-23 20:31:58,68.5333,146.4167,45.84,81,100,9.33
208,Ust-Tsilma,RU,2022-05-23 20:31:58,65.441,52.1498,35.42,100,100,4.18
209,San Vicente,AR,2022-05-23 20:31:58,-26.6167,-54.1333,58.68,76,0,1.61
210,Saint-Pierre,RE,2022-05-23 20:31:59,-21.3393,55.4781,71.28,88,100,11.5
211,Pitsunda,GE,2022-05-23 20:31:59,43.1592,40.3378,53.78,80,71,5.1
212,Jamestown,US,2022-05-23 20:28:36,42.097,-79.2353,62.06,50,0,8.05
213,Yaring,TH,2022-05-23 20:32:00,6.8662,101.3689,82.29,84,100,5.12
214,Pochutla,MX,2022-05-23 20:32:00,15.7432,-96.4661,91.2,41,1,10.69
215,Sistranda,NO,2022-05-23 20:32:00,63.7256,8.834,58.96,90,100,5.21
216,Talcahuano,CL,2022-05-23 20:32:01,-36.7167,-73.1167,51.48,87,100,2.3
217,Souillac,MU,2022-05-23 20:32:01,-20.5167,57.5167,75.58,73,40,11.5
218,Nemuro,JP,2022-05-23 20:28:30,43.3236,145.575,44.85,91,99,12.48
219,Namibe,AO,2022-05-23 20:32:02,-15.1961,12.1522,68.43,80,0,6.51
220,Thompson,CA,2022-05-23 20:32:02,55.7435,-97.8558,48.36,81,75,8.05
221,Norman Wells,CA,2022-05-23 20:32:02,65.282,-126.8329,48.24,57,75,9.22
222,Port Blair,IN,2022-05-23 20:32:03,11.6667,92.75,82.44,89,75,11.5
223,Homer,US,2022-05-23 20:33:03,59.6425,-151.5483,49.89,73,100,8.05
224,Dikson,RU,2022-05-23 20:33:03,73.5069,80.5464,18.57,93,8,8.32
225,Wuning,CN,2022-05-23 20:33:04,29.2589,120.2311,63.82,92,100,1.92
226,Saint-Augustin,CA,2022-05-23 20:33:04,51.226,-58.6502,50.45,49,85,14.16
227,Alta,NO,2022-05-23 20:29:15,69.9689,23.2717,51.06,58,0,2.3
228,Antofagasta,CL,2022-05-23 20:33:05,-23.65,-70.4,60.08,78,41,5.26
229,Devils Lake,US,2022-05-23 20:33:05,48.1128,-98.8651,59.95,48,100,5.75
230,Bengkulu,ID,2022-05-23 20:33:05,-3.8004,102.2655,77.18,84,100,3.49
231,Sardinia,GR,2022-05-23 20:33:06,38.8833,21.2,65.32,76,5,1.59
232,Dingle,PH,2022-05-23 20:33:06,10.9995,122.6711,76.41,87,53,2.73
233,Gizo,SB,2022-05-23 20:33:06,-8.103,156.8419,81.91,77,24,6.11
234,Severo-Kurilsk,RU,2022-05-23 20:33:07,50.6789,156.125,41.11,95,100,16.93
235,Mweka,CD,2022-05-23 20:33:07,-4.85,21.5667,69.35,95,69,1.72
236,Lompoc,US,2022-05-23 20:33:08,34.6391,-120.4579,83.7,59,0,14.97
237,Sambava,MG,2022-05-23 20:33:08,-14.2667,50.1667,70.5,84,7,9.01
238,Palmer,US,2022-05-23 20:28:29,42.1584,-72.3287,74.64,35,75,13.8
239,Cabo San Lucas,MX,2022-05-23 20:32:12,22.8909,-109.9124,88.61,50,0,11.5
240,Vanimo,PG,2022-05-23 20:33:09,-2.6741,141.3028,77.09,88,49,5.48
241,Verkhoyansk,RU,2022-05-23 20:33:09,67.5447,133.385,46.33,62,18,6.96
242,Maceio,BR,2022-05-23 20:33:10,-9.6658,-35.7353,80.04,73,40,10.36
243,Kharp,RU,2022-05-23 20:33:10,66.8014,65.8081,34.54,95,99,3.22
244,Birao,CF,2022-05-23 20:33:10,10.2849,22.7882,86.09,17,89,4.47
245,Pampa,US,2022-05-23 20:33:11,35.5362,-100.9599,63.55,63,100,14.97
246,Lumeje,AO,2022-05-23 20:33:11,-11.55,20.7833,59.67,42,100,5.82
247,Hirara,JP,2022-05-23 20:33:12,24.8,125.2833,78.17,87,95,7.99
248,Tiznit,MA,2022-05-23 20:33:12,29.5833,-9.5,67.62,72,11,2.68
249,Chabahar,IR,2022-05-23 20:33:12,25.2919,60.643,84.27,76,0,4.0
250,Teluk Intan,MY,2022-05-23 20:33:13,4.0259,101.0213,78.82,97,95,2.01
251,Isiro,CD,2022-05-23 20:29:18,2.7739,27.616,66.33,98,100,2.33
252,Atar,MR,2022-05-23 20:33:13,20.5169,-13.0499,98.35,15,99,12.77
253,Shimoda,JP,2022-05-23 20:33:14,34.6667,138.95,65.01,80,100,2.35
254,Santiago Del Estero,AR,2022-05-23 20:33:14,-27.7951,-64.2615,77.92,34,0,7.76
255,Rocha,UY,2022-05-23 20:33:14,-34.4833,-54.3333,55.08,83,95,4.94
256,Bullhead City,US,2022-05-23 20:33:15,35.1478,-114.5683,98.58,8,75,20.71
257,Qaqortoq,GL,2022-05-23 20:33:15,60.7167,-46.0333,37.0,72,100,13.33
258,Iskateley,RU,2022-05-23 20:33:16,67.6803,53.1512,32.22,98,100,14.14
259,Mae Sai,TH,2022-05-23 20:33:16,20.4335,99.8762,71.83,98,74,0.69
260,Kungurtug,RU,2022-05-23 20:33:16,50.5994,97.5228,48.54,82,80,0.78
